"name","short_name","doi","url","date","project","theme","teams","image_url"
"PASTIS-R - Panoptic Segmentation of Radar and Optical Satellite image TIme Series","PASTIS-R","10.5281/zenodo.5735645","https://zenodo.org/records/5735646",2021,,"Agriculture","STRUDEL","https://github.com/VSainteuf/pastis-benchmark/blob/main/images/pastisr.png?raw=true"
"Georeferencing the ""Atlas du plan général de la ville de Paris par Edme Verniquet""","Georeferencing Verniquet","10.7910/DVN/ZKRJFA","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZKRJFA",2023,"SoDUCo","DigitalHumanities","STRUDEL","https://dataverse.harvard.edu/api/v1/access/datafile/7002793?gbrecs=true"
"A GIS reconstruction of the Cassini ""Carte de France"" sheet No. 52","Cassini ""Carte de France"" sheet No. 52","10.7910/DVN/XP8J6P","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XP8J6P",2019,"SoDUCo","DigitalHumanities","STRUDEL","https://dataverse.harvard.edu/api/v1/access/datafile/3454734?gbrecs=true"
"PASTIS - Panoptic Segmentation of Satellite image TIme Series","PASTIS","10.5281/zenodo.5012941","https://zenodo.org/records/5012942",2021,,"Agriculture","STRUDEL","https://github.com/Vsainteuf/pastis-benchmark/blob/main/images/predictions.png?raw=true"
"The 18th century Cassini roads and cities dataset","Cassini roads and cities dataset","10.7910/DVN/28674","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28674",2015,"SoDUCo","DigitalHumanities","STRUDEL","https://media.springernature.com/full/springer-static/image/art%3A10.1038%2Fsdata.2015.48/MediaObjects/41597_2015_Article_BFsdata201548_Fig2_HTML.jpg"
"L'Alpe d'Huez: a dataset to benchmark topographic map generalisation","L'Alpe d'Huez","10.5281/zenodo.5749324","https://zenodo.org/records/5749324",2021,"LostInZoom","Tourism","MEIG",
"PASTIS-R PixelSet - Radar and Optical Satellite Image Time Series in Pixel-Set format","PASTIS-R PixelSet","10.5281/zenodo.5745150","https://zenodo.org/records/5745151",2021,,"Agriculture","STRUDEL","https://github.com/VSainteuf/pastis-benchmark/blob/main/images/pastisr.png?raw=true"
"Parcel Manager Data set","Parcel Manager Data set","10.17632/zscjbdvr9v","https://data.mendeley.com/datasets/zscjbdvr9v",2022,"ParcelManager","Planning","STRUDEL","https://framagit.org/artiscales/parcelmanager/-/raw/master/misc/schema.png"
"""Verniquet map"" and ""Jacoubet Atlas"" Paris street networks","Verniquet & Jacoubet Paris street networks","10.7910/DVN/CCESX4","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CCESX4",2019,"SoDUCo","DigitalHumanities","STRUDEL",
"ICDAR 2021 Competition on Historical Map Segmentation — Dataset","ICDAR 2021 Competition Dataset","10.5281/zenodo.4817662","https://zenodo.org/records/4817662",2021,"SoDUCo","DigitalHumanities","STRUDEL",
"A Dataset of French Trade Directories from the 19th Century (FTD)","FTD","10.5281/zenodo.6394464","https://zenodo.org/records/6394464",2022,"SoDUCo","DigitalHumanities","STRUDEL",
"ModelNet10 - Scans","ModelNet10 - Scans","10.5281/zenodo.5940164","https://zenodo.org/records/5940164",2022,"BIOM","Urban","ACTE,STRUDEL",
"Dataset for ICDAR 21 paper ""Vectorization of Historical Maps Using Deep Edge Filtering and Closed Shape Extraction""","ICDAR 21 paper dataset","10.5281/zenodo.8325475","https://zenodo.org/records/10567765",2021,"SoDUCo","DigitalHumanities","STRUDEL",
"ModelNet10 - Watertight","ModelNet10 - Watertight","10.5281/zenodo.5920479","https://zenodo.org/records/5920479",2022,"BIOM","Urban","ACTE,STRUDEL",
"ICDAR 2021 Competition on Historical Map Segmentation — Submissions from participants","ICDAR 2021 Competition Submissions from participants","10.5281/zenodo.4818227","https://zenodo.org/records/4818228",2021,"SoDUCo","DigitalHumanities","STRUDEL",
"FogDetector survey raw data","FogDetector survey raw data","10.5281/zenodo.7561925","https://zenodo.org/records/7561925",2023,"LostInZoom","Tourism","MEIG",
"AlpineBends – A Benchmark for Deep Learning-Based Generalisation","AlpineBends ","10.5281/zenodo.5257686","https://zenodo.org/records/5257686",2021,"LostInZoom","Tourism","MEIG",
"NER models from ""A Benchmark of Named Entity Recognition Approaches in Historical Documents Application to 19th Century French Directories"", DAS22 workshop on document analysis systems.","DAS22 NER models","10.5281/zenodo.6576008","https://zenodo.org/records/6576008",2022,"SoDUCo","DigitalHumanities","STRUDEL",
"A Dataset of French Trade Directories from the 19th Century for Nested NER task","FTD Nested NER task","10.5281/zenodo.7864174","https://zenodo.org/records/8167628",2023,"SoDUCo","DigitalHumanities","STRUDEL",
"Multi-Landcover translation network (MLCT-Net)","MLCT-Net","10.5281/zenodo.7019838","https://zenodo.org/records/7019838",2022,"MAESTRIA","LULC","STRUDEL",
